"Prologue_001_Wave1","TutorialMode","","Normal","Prologue_001","1","Environment_TutoBattle","Prologue_C024","1","Prologue_C591","1","Prologue_C024","1","","","","","","","","","","","",""
"AD_N_P4_002_003_Wave2","AdventureMode","","Normal","AD_N_P4_002_003","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","62","","","","","CH14_M_C545_G1","62","","","","","CH14_B_C543_G1","62","","","",""
"AD_N_P4_002_004_Wave1","AdventureMode","","Normal","AD_N_P4_002_004","1","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","63","","","","","CH14_M_C545_G1","63","","","","","CH14_B_C543_G1","63","","","",""
"AD_N_P4_002_004_Wave2","AdventureMode","","Normal","AD_N_P4_002_004","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","63","CH14_F_C538_G1","63","","","CH14_M_C545_G1","63","","","","","","","","","",""
"AD_N_P4_002_005_Wave1","AdventureMode","","Normal","AD_N_P4_002_005","1","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","63","","","","","CH14_M_C547_G1","63","","","","","CH14_B_C543_G1","63","","","",""
"AD_N_P4_002_005_Wave2","AdventureMode","","Normal","AD_N_P4_002_005","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","63","","","","","CH14_M_C545_G1","63","","","","","CH14_F_C008_G1","63","","","",""
"AD_N_P4_002_006_Wave1","AdventureMode","","Normal","AD_N_P4_002_006","1","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","63","","","","","CH14_M_C539_G1","63","","","","","CH14_B_C543_G1","63","","","",""
"AD_N_P4_002_006_Wave2","AdventureMode","","Normal","AD_N_P4_002_006","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","63","","","","","CH14_M_C545_G1","63","CH14_M_C545_G1","63","","","","","","","",""
"AD_N_P4_002_007_Wave1","AdventureMode","","Normal","AD_N_P4_002_007","1","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","64","","","","","CH14_M_C539_G1","64","","","","","CH14_B_C543_G1","64","","","",""
"AD_N_P4_002_007_Wave2","AdventureMode","","Normal","AD_N_P4_002_007","2","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","64","CH14_F_C538_G1","64","","","CH14_M_C545_G1","64","","","","","CH14_B_C047_G1","64","","","",""
"AD_N_P4_002_008_Wave1","AdventureMode","","Normal","AD_N_P4_002_008","1","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","64","","","","","CH14_M_C545_G1","64","","","","","CH14_B_C544_G1","64","","","",""
"AD_N_P4_002_008_Wave2","AdventureMode","","Normal","AD_N_P4_002_008","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","64","CH14_F_C538_G1","64","","","CH14_M_C545_G1","64","","","","","CH14_B_C047_G1","64","","","",""
"AD_N_P4_002_009_Wave1","AdventureMode","","Normal","AD_N_P4_002_009","1","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","64","","","","","CH14_M_C539_G1","64","","","","","CH14_B_C543_G1","64","","","",""
"AD_N_P4_002_009_Wave2","AdventureMode","","Normal","AD_N_P4_002_009","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","64","CH14_F_C538_G1","64","","","CH14_M_C545_G1","64","","","","","CH14_B_C550_G1","64","","","",""
"AD_N_P4_002_010_Wave1","AdventureMode","","Normal","AD_N_P4_002_010","1","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","64","CH14_F_C538_G1","64","","","CH14_M_C547_G1","64","","","","","CH14_B_C047_G1","64","","","",""
"AD_N_P4_002_010_Wave2","AdventureMode","","Normal","AD_N_P4_002_010","2","Environment_Adventure_Part4_NST2","CH14_F_C549_G1","64","CH14_F_C037_G1","64","","","CH14_M_C545_G1","64","","","","","CH14_B_C047_G1","64","","","",""
"AD_N_P4_002_011_Wave1","AdventureMode","","Normal","AD_N_P4_002_011","1","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","65","CH14_F_C049_G1","65","","","CH14_M_C547_G1","65","","","","","CH14_B_C544_G1","65","","","",""
"AD_N_P4_002_011_Wave2","AdventureMode","","Normal","AD_N_P4_002_011","2","Environment_Adventure_Part4_NST2","CH14_F_C049_G1","65","CH14_F_C538_G1","65","CH14_F_C049_G1","65","","","","","","","CH14_B_C047_G1","65","","","",""
"AD_N_P4_002_012_Wave1","AdventureMode","","Normal","AD_N_P4_002_012","1","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","65","CH14_F_C538_G1","65","","","CH14_M_C545_G1","65","","","","","CH14_B_C047_G1","65","","","",""
"AD_N_P4_002_012_Wave2","AdventureMode","","Normal","AD_N_P4_002_012","2","Environment_Adventure_Part4_NST2","CH14_F_C549_G1","65","","","","","CH14_M_C545_G1","65","CH14_M_C545_G1","65","CH14_M_C545_G1","65","","","","","",""
"AD_N_P4_002_013_Wave1","AdventureMode","","Normal","AD_N_P4_002_013","1","Environment_Adventure_Part4_NST2","CH14_F_C549_G1","65","","","CH14_M_C539_G1","65","","","","","","","CH14_B_C543_G1","65","CH14_B_C543_G1","65","CH14_B_C543_G1","65"
"AD_N_P4_002_013_Wave2","AdventureMode","","Normal","AD_N_P4_002_013","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","65","CH14_F_C549_G1","65","CH14_F_C538_G1","65","CH14_M_C547_G1","65","","","","","CH14_B_C550_G1","65","","","",""
"AD_N_P4_002_014_Wave1","AdventureMode","","Normal","AD_N_P4_002_014","1","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","65","","","","","CH14_M_C545_G1","65","","","","","CH14_B_C543_G1","65","CH14_B_C550_G1","65","CH14_B_C543_G1","65"
"AD_N_P4_002_014_Wave2","AdventureMode","","Normal","AD_N_P4_002_014","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","65","CH14_F_C549_G1","65","","","CH14_M_C545_G1","65","","","","","CH14_B_C543_G1","65","CH14_B_C550_G1","65","",""
"AD_N_P4_002_015_Wave1","AdventureMode","","Normal","AD_N_P4_002_015","1","Environment_Adventure_Part4_NST2","CH14_F_C549_G1","66","CH14_F_C549_G1","66","","","CH14_M_C547_G1","66","","","","","CH14_B_C543_G1","66","CH14_B_C543_G1","66","",""
"AD_N_P4_002_015_Wave2","AdventureMode","","Normal","AD_N_P4_002_015","2","Environment_Adventure_Part4_NST2","CH14_F_C538_G1","66","CH14_F_C538_G1","66","","","","","","","","","CH14_B_C550_G1","66","CH14_B_C010_G2","66","CH14_B_C550_G1","66"
"AD_H_P4_002_001_Wave1","AdventureMode","","Normal","AD_H_P4_002_001","1","Environment_Adventure_Part4_HST2","CH14_F_C049_G1","67","","","","","CH14_M_C547_G1","67","","","","","CH14_B_C543_G1","67","","","",""
"AD_H_P4_002_001_Wave2","AdventureMode","","Normal","AD_H_P4_002_001","2","Environment_Adventure_Part4_HST2","CH14_F_C538_G1","67","","","","","CH14_M_C545_G1","67","","","","","CH14_F_C008_G1","67","","","",""
"AD_H_P4_002_002_Wave1","AdventureMode","","Normal","AD_H_P4_002_002","1","Environment_Adventure_Part4_HST2","CH14_F_C538_G1","68","CH14_F_C538_G1","68","","","CH14_M_C547_G1","68","","","","","CH14_B_C047_G1","68","","","",""
"AD_H_P4_002_002_Wave2","AdventureMode","","Normal","AD_H_P4_002_002","2","Environment_Adventure_Part4_HST2","CH14_F_C549_G1","68","CH14_F_C037_G1","68","","","CH14_M_C545_G1","68","","","","","CH14_B_C047_G1","68","","","",""
"AD_H_P4_002_003_Wave1","AdventureMode","","Normal","AD_H_P4_002_003","1","Environment_Adventure_Part4_HST2","CH14_F_C549_G1","69","CH14_F_C549_G1","69","","","CH14_M_C547_G1","69","","","","","CH14_B_C543_G1","69","CH14_B_C543_G1","69","",""
"AD_H_P4_002_003_Wave2","AdventureMode","","Normal","AD_H_P4_002_003","2","Environment_Adventure_Part4_HST2","CH14_F_C538_G1","69","CH14_F_C538_G1","69","","","","","","","","","CH14_B_C550_G1","69","CH14_B_C010_G2","69","CH14_B_C550_G1","69"
"AD_N_P4_003_001_Wave1","AdventureMode","","Normal","AD_N_P4_003_001","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","66","","","","","CH15_M_C545_G1","66","","","","","CH15_B_C543_G1","66","","","",""
"AD_N_P4_003_001_Wave2","AdventureMode","","Normal","AD_N_P4_003_001","2","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","66","","","","","CH15_M_C545_G1","66","","","","","CH15_B_C047_G1","66","","","",""
"AD_N_P4_003_002_Wave1","AdventureMode","","Normal","AD_N_P4_003_002","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","66","","","","","CH15_M_C545_G1","66","","","","","CH15_B_C543_G1","66","","","",""
"AD_N_P4_003_002_Wave2","AdventureMode","","Normal","AD_N_P4_003_002","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","66","","","","","CH15_M_C546_G1","66","","","","","CH15_B_C544_G1","66","","","",""
"AD_N_P4_003_003_Wave1","AdventureMode","","Normal","AD_N_P4_003_003","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","66","","","","","CH15_M_C546_G1","66","","","","","CH15_B_C544_G1","66","","","",""
"AD_N_P4_003_003_Wave2","AdventureMode","","Normal","AD_N_P4_003_003","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","66","","","","","CH15_M_C546_G1","66","","","","","CH15_B_C544_G1","66","","","",""
"AD_N_P4_003_004_Wave1","AdventureMode","","Normal","AD_N_P4_003_004","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","66","CH15_F_C049_G1","66","","","CH15_M_C545_G1","66","","","","","","","","","",""
"AD_N_P4_003_004_Wave2","AdventureMode","","Normal","AD_N_P4_003_004","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","66","CH15_F_C538_G1","66","","","CH15_M_C546_G1","66","","","","","","","","","",""
"AD_N_P4_003_005_Wave1","AdventureMode","","Normal","AD_N_P4_003_005","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","","","","","CH15_M_C546_G1","68","","","","","CH15_B_C544_G1","67","","","",""
"AD_N_P4_003_005_Wave2","AdventureMode","","Normal","AD_N_P4_003_005","2","Environment_Adventure_Part4_NST3","CH15_F_C037_G1","67","","","","","CH15_M_C551_G1","67","","","","","CH15_B_C544_G1","67","","","",""
"AD_N_P4_003_006_Wave1","AdventureMode","","Normal","AD_N_P4_003_006","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","67","","","","","CH15_M_C545_G1","67","","","","","CH15_B_C543_G1","67","","","",""
"AD_N_P4_003_006_Wave2","AdventureMode","","Normal","AD_N_P4_003_006","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","","","","","CH15_M_C546_G1","67","","","","","CH15_B_C544_G1","67","","","",""
"AD_N_P4_003_007_Wave1","AdventureMode","","Normal","AD_N_P4_003_007","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","67","","","","","CH15_M_C545_G1","67","","","","","CH15_B_C543_G1","67","","","",""
"AD_N_P4_003_007_Wave2","AdventureMode","","Normal","AD_N_P4_003_007","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","CH15_F_C538_G1","67","","","CH15_M_C546_G1","67","","","","","CH15_B_C047_G1","67","","","",""
"AD_N_P4_003_008_Wave1","AdventureMode","","Normal","AD_N_P4_003_008","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","67","","","","","CH15_M_C546_G1","67","","","","","CH15_B_C544_G1","67","","","",""
"AD_N_P4_003_008_Wave2","AdventureMode","","Normal","AD_N_P4_003_008","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","CH15_F_C538_G1","67","","","CH15_M_C546_G1","67","","","","","CH15_B_C047_G1","67","","","",""
"AD_N_P4_003_009_Wave1","AdventureMode","","Normal","AD_N_P4_003_009","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","","","","","CH15_M_C546_G1","67","","","","","CH15_B_C544_G1","67","","","",""
"AD_N_P4_003_009_Wave2","AdventureMode","","Normal","AD_N_P4_003_009","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","67","CH15_F_C538_G1","67","","","CH15_M_C546_G1","67","","","","","CH15_B_C550_G1","67","","","",""
"AD_N_P4_003_010_Wave1","AdventureMode","","Normal","AD_N_P4_003_010","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C538_G1","68","","","CH15_M_C546_G1","68","","","","","CH15_B_C544_G1","68","","","",""
"AD_N_P4_003_010_Wave2","AdventureMode","","Normal","AD_N_P4_003_010","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C015_G1","68","","","CH15_M_C551_G1","68","","","","","CH15_B_C047_G1","68","","","",""
"AD_N_P4_003_011_Wave1","AdventureMode","","Normal","AD_N_P4_003_011","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","68","CH15_F_C049_G1","68","","","CH15_M_C546_G1","68","CH15_M_C546_G1","68","","","","","","","",""
"AD_N_P4_003_011_Wave2","AdventureMode","","Normal","AD_N_P4_003_011","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C538_G1","68","","","","","","","","","CH15_B_C544_G1","68","CH15_B_C544_G1","68","",""
"AD_N_P4_003_012_Wave1","AdventureMode","","Normal","AD_N_P4_003_012","1","Environment_Adventure_Part4_NST3","CH15_F_C049_G1","68","CH15_F_C049_G1","68","","","CH15_M_C546_G1","68","","","","","CH15_B_C544_G1","68","","","",""
"AD_N_P4_003_012_Wave2","AdventureMode","","Normal","AD_N_P4_003_012","2","Environment_Adventure_Part4_NST3","CH15_F_C549_G1","68","","","","","CH15_M_C546_G1","68","CH15_M_C546_G1","68","CH15_M_C546_G1","68","CH15_B_C047_G1","68","","","",""
"AD_N_P4_003_013_Wave1","AdventureMode","","Normal","AD_N_P4_003_013","1","Environment_Adventure_Part4_NST3","CH15_F_C549_G1","68","","","","","CH15_M_C546_G1","68","CH15_M_C546_G1","68","","","CH15_B_C543_G1","68","CH15_B_C543_G1","68","",""
"AD_N_P4_003_013_Wave2","AdventureMode","","Normal","AD_N_P4_003_013","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C549_G1","68","","","CH15_M_C551_G1","68","","","","","CH15_B_C047_G1","68","CH15_B_C047_G1","68","",""
"AD_N_P4_003_014_Wave1","AdventureMode","","Normal","AD_N_P4_003_014","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C538_G1","68","CH15_F_C538_G1","68","CH15_M_C546_G1","68","","","","","CH15_B_C550_G1","68","","","",""
"AD_N_P4_003_014_Wave2","AdventureMode","","Normal","AD_N_P4_003_014","2","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","68","CH15_F_C538_G1","68","","","CH15_M_C546_G1","68","","","","","CH15_B_C550_G1","68","CH15_B_C550_G1","68","",""
"AD_N_P4_003_015_Wave1","AdventureMode","","Normal","AD_N_P4_003_015","1","Environment_Adventure_Part4_NST3","CH15_F_C538_G1","69","CH15_F_C538_G1","69","CH15_F_C538_G1","69","CH15_M_C551_G1","69","CH15_M_C551_G1","69","","","","","","","",""
"AD_N_P4_003_015_Wave2","AdventureMode","","Normal","AD_N_P4_003_015","2","Environment_Adventure_Part4_NST3","CH15_F_C101_G2","69","","","","","CH15_M_C551_G1","69","","","","","CH15_B_C047_G1","69","CH15_B_C047_G1","69","",""
"AD_H_P4_003_001_Wave1","AdventureMode","","Normal","AD_H_P4_003_001","1","Environment_Adventure_Part4_HST3","CH15_F_C538_G1","70","","","","","CH15_M_C546_G1","70","","","","","CH15_B_C544_G1","70","","","",""
"AD_H_P4_003_001_Wave2","AdventureMode","","Normal","AD_H_P4_003_001","2","Environment_Adventure_Part4_HST3","CH15_F_C037_G1","70","","","","","CH15_M_C551_G1","70","","","","","CH15_B_C544_G1","70","","","",""
"AD_H_P4_003_002_Wave1","AdventureMode","","Normal","AD_H_P4_003_002","1","Environment_Adventure_Part4_HST3","CH15_F_C538_G1","71","CH15_F_C538_G1","71","","","CH15_M_C546_G1","71","","","","","CH15_B_C544_G1","71","","","",""
"AD_H_P4_003_002_Wave2","AdventureMode","","Normal","AD_H_P4_003_002","2","Environment_Adventure_Part4_HST3","CH15_F_C538_G1","71","CH15_F_C015_G1","71","","","CH15_M_C551_G1","71","","","","","CH15_B_C047_G1","71","","","",""
"AD_H_P4_003_003_Wave1","AdventureMode","","Normal","AD_H_P4_003_003","1","Environment_Adventure_Part4_HST3","CH15_F_C538_G1","72","CH15_F_C538_G1","72","CH15_F_C538_G1","72","CH15_M_C551_G1","72","CH15_M_C551_G1","72","","","","","","","",""
"AD_H_P4_003_003_Wave2","AdventureMode","","Normal","AD_H_P4_003_003","2","Environment_Adventure_Part4_HST3","CH15_F_C101_G2","72","","","","","CH15_M_C551_G1","72","","","","","CH15_B_C047_G1","72","CH15_B_C047_G1","72","",""
"AD_N_P4_004_001_Wave1","AdventureMode","","Normal","AD_N_P4_004_001","1","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","69","","","","","CH16_M_C547_G1","69","","","","","CH16_B_C543_G1","69","","","",""
"AD_N_P4_004_001_Wave2","AdventureMode","","Normal","AD_N_P4_004_001","2","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","69","","","","","CH16_M_C545_G1","69","","","","","CH16_B_C543_G1","69","","","",""
"AD_N_P4_004_002_Wave1","AdventureMode","","Normal","AD_N_P4_004_002","1","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","69","","","","","CH16_M_C545_G1","69","","","","","CH16_B_C543_G1","69","","","",""
"AD_N_P4_004_002_Wave2","AdventureMode","","Normal","AD_N_P4_004_002","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","69","","","","","CH16_M_C546_G1","69","","","","","CH16_B_C544_G1","69","","","",""
"AD_N_P4_004_003_Wave1","AdventureMode","","Normal","AD_N_P4_004_003","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","69","","","","","CH16_M_C546_G1","69","","","","","CH16_B_C544_G1","69","","","",""
"AD_N_P4_004_003_Wave2","AdventureMode","","Normal","AD_N_P4_004_003","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","69","","","","","CH16_M_C546_G1","69","","","","","CH16_B_C047_G1","69","","","",""
"AD_N_P4_004_004_Wave1","AdventureMode","","Normal","AD_N_P4_004_004","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","69","","","","","CH16_M_C546_G1","69","CH16_M_C546_G1","69","","","","","","","",""
"AD_N_P4_004_004_Wave2","AdventureMode","","Normal","AD_N_P4_004_004","2","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","69","CH16_F_C538_G1","69","","","CH16_M_C546_G1","69","","","","","","","","","",""
"AD_N_P4_004_005_Wave1","AdventureMode","","Normal","AD_N_P4_004_005","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","70","","","","","CH16_M_C546_G1","70","","","","","CH16_B_C543_G1","70","","","",""
"AD_N_P4_004_005_Wave2","AdventureMode","","Normal","AD_N_P4_004_005","2","Environment_Adventure_Part4_NST4","CH16_F_C101_G1","70","","","","","CH16_M_C545_G1","70","","","","","CH16_B_C544_G1","70","","","",""
"AD_N_P4_004_006_Wave1","AdventureMode","","Normal","AD_N_P4_004_006","1","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","70","","","","","CH16_M_C547_G1","70","","","","","CH16_B_C543_G1","70","","","",""
"AD_N_P4_004_006_Wave2","AdventureMode","","Normal","AD_N_P4_004_006","2","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","70","","","","","CH16_M_C547_G1","70","","","","","CH16_B_C544_G1","70","","","",""
"AD_N_P4_004_007_Wave1","AdventureMode","","Normal","AD_N_P4_004_007","1","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","70","","","","","CH16_M_C547_G1","70","","","","","CH16_B_C543_G1","70","","","",""
"AD_N_P4_004_007_Wave2","AdventureMode","","Normal","AD_N_P4_004_007","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","70","","","","","CH16_M_C547_G1","70","CH16_M_C547_G1","70","","","CH16_B_C047_G1","70","","","",""
"AD_N_P4_004_008_Wave1","AdventureMode","","Normal","AD_N_P4_004_008","1","Environment_Adventure_Part4_NST4","CH16_F_C049_G1","70","","","","","CH16_M_C547_G1","70","","","","","CH16_B_C543_G1","70","","","",""
"AD_N_P4_004_008_Wave2","AdventureMode","","Normal","AD_N_P4_004_008","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","70","CH16_F_C538_G1","70","","","CH16_M_C546_G1","70","","","","","CH16_B_C047_G1","70","","","",""
"AD_N_P4_004_009_Wave1","AdventureMode","","Normal","AD_N_P4_004_009","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","70","","","","","CH16_M_C545_G1","70","","","","","CH16_B_C047_G1","70","","","",""
"AD_N_P4_004_009_Wave2","AdventureMode","","Normal","AD_N_P4_004_009","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","70","CH16_F_C538_G1","70","","","CH16_M_C545_G1","70","","","","","CH16_B_C550_G1","70","","","",""
"AD_N_P4_004_010_Wave1","AdventureMode","","Normal","AD_N_P4_004_010","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","","","CH16_M_C545_G1","71","","","","","CH16_B_C047_G1","71","","","",""
"AD_N_P4_004_010_Wave2","AdventureMode","","Normal","AD_N_P4_004_010","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","","","","","CH16_M_C551_G1","71","CH16_M_C551_G1","71","","","CH16_B_C010_G1","71","","","",""
"AD_N_P4_004_011_Wave1","AdventureMode","","Normal","AD_N_P4_004_011","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","","","CH16_M_C545_G1","71","CH16_M_C545_G1","71","","","","","","","",""
"AD_N_P4_004_011_Wave2","AdventureMode","","Normal","AD_N_P4_004_011","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","","","","","CH16_M_C546_G1","71","CH16_M_C546_G1","71","CH16_M_C546_G1","71","","","","","",""
"AD_N_P4_004_012_Wave1","AdventureMode","","Normal","AD_N_P4_004_012","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","","","CH16_M_C545_G1","71","","","","","CH16_B_C047_G1","71","","","",""
"AD_N_P4_004_012_Wave2","AdventureMode","","Normal","AD_N_P4_004_012","2","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","","","CH16_M_C551_G1","71","","","","","CH16_B_C544_G1","71","","","",""
"AD_N_P4_004_013_Wave1","AdventureMode","","Normal","AD_N_P4_004_013","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","CH16_F_C538_G1","71","CH16_M_C546_G1","71","","","","","CH16_B_C550_G1","71","","","",""
"AD_N_P4_004_013_Wave2","AdventureMode","","Normal","AD_N_P4_004_013","2","Environment_Adventure_Part4_NST4","CH16_F_C549_G1","71","CH16_F_C549_G1","71","","","CH16_M_C545_G1","71","","","","","CH16_B_C544_G1","71","CH16_B_C544_G1","71","",""
"AD_N_P4_004_014_Wave1","AdventureMode","","Normal","AD_N_P4_004_014","1","Environment_Adventure_Part4_NST4","CH16_F_C538_G1","71","CH16_F_C538_G1","71","","","CH16_M_C551_G1","71","","","","","CH16_B_C543_G1","71","CH16_B_C047_G1","71","",""
"AD_N_P4_004_014_Wave2","AdventureMode","","Normal","AD_N_P4_004_014","2","Environment_Adventure_Part4_NST4","CH16_F_C549_G1","71","","","","","CH16_M_C546_G1","71","CH16_M_C551_G1","71","CH16_M_C546_G1","71","CH16_B_C047_G1","71","","","",""
"AD_N_P4_004_015_Wave1","AdventureMode","","Normal","AD_N_P4_004_015","1","Environment_Adventure_Part4_NST4","CH16_F_C549_G1","72","","","","","CH16_M_C546_G1","72","","","","","CH16_B_C550_G1","72","CH16_B_C047_G1","72","",""
"AD_N_P4_004_015_Wave2","AdventureMode","","Normal","AD_N_P4_004_015","2","Environment_Adventure_Part4_NST4","CH16_F_C554_G2","72","","","","","CH16_M_C546_G1","72","CH16_M_C546_G1","72","","","CH16_B_C047_G1","72","CH16_B_C550_G1","72","",""
"AD_H_P4_004_001_Wave1","AdventureMode","","Normal","AD_H_P4_004_001","1","Environment_Adventure_Part4_HST4","CH16_F_C538_G1","73","","","","","CH16_M_C546_G1","73","","","","","CH16_B_C543_G1","73","","","",""
"AD_H_P4_004_001_Wave2","AdventureMode","","Normal","AD_H_P4_004_001","2","Environment_Adventure_Part4_HST4","CH16_F_C101_G1","73","","","","","CH16_M_C545_G1","73","","","","","CH16_B_C544_G1","73","","","",""
"AD_H_P4_004_002_Wave1","AdventureMode","","Normal","AD_H_P4_004_002","1","Environment_Adventure_Part4_HST4","CH16_F_C538_G1","74","CH16_F_C538_G1","74","","","CH16_M_C545_G1","74","","","","","CH16_B_C047_G1","74","","","",""
"AD_H_P4_004_002_Wave2","AdventureMode","","Normal","AD_H_P4_004_002","2","Environment_Adventure_Part4_HST4","CH16_F_C538_G1","74","","","","","CH16_M_C551_G1","74","CH16_M_C551_G1","74","","","CH16_B_C010_G1","74","","","",""
"AD_H_P4_004_003_Wave1","AdventureMode","","Normal","AD_H_P4_004_003","1","Environment_Adventure_Part4_HST4","CH16_F_C549_G1","74","","","","","CH16_M_C546_G1","74","","","","","CH16_B_C550_G1","74","CH16_B_C047_G1","74","",""
"AD_H_P4_004_003_Wave2","AdventureMode","","Normal","AD_H_P4_004_003","2","Environment_Adventure_Part4_HST4","CH16_F_C554_G2","74","","","","","CH16_M_C546_G1","74","CH16_M_C546_G1","74","","","CH16_B_C047_G1","74","CH16_B_C550_G1","74","",""
"AD_N_P5_001_001_Wave1","AdventureMode","","Normal","AD_N_P5_001_001","1","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","73","","","","","CH17_M_C609_G1","73","","","","","CH17_B_C611_G1","73","","","",""
"AD_N_P5_001_001_Wave2","AdventureMode","","Normal","AD_N_P5_001_001","2","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","73","CH17_F_C514_G1","73","","","CH17_M_C609_G1","73","","","","","","","","","",""
"AD_N_P5_001_002_Wave1","AdventureMode","","Normal","AD_N_P5_001_002","1","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","73","","","","","CH17_M_C609_G1","73","","","","","","","","","",""
"AD_N_P5_001_002_Wave2","AdventureMode","","Normal","AD_N_P5_001_002","2","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","73","","","","","CH17_M_C609_G1","73","CH17_M_C609_G1","73","","","","","","","",""
"AD_N_P5_001_003_Wave1","AdventureMode","","Normal","AD_N_P5_001_003","1","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","73","","","","","CH17_M_C609_G1","73","","","","","CH17_B_C611_G1","73","","","",""
"AD_N_P5_001_003_Wave2","AdventureMode","","Normal","AD_N_P5_001_003","2","Environment_Adventure_Part5_NST1","CH17_F_C516_G1","73","","","","","","","","","","","CH17_B_C611_G1","73","CH17_B_C611_G1","73","",""
"AD_N_P5_001_004_Wave1","AdventureMode","","Normal","AD_N_P5_001_004","1","Environment_Adventure_Part5_NST1","CH17_F_C516_G1","74","","","","","CH17_M_C609_G1","74","","","","","CH17_B_C611_G1","74","","","",""
"AD_N_P5_001_004_Wave2","AdventureMode","","Normal","AD_N_P5_001_004","2","Environment_Adventure_Part5_NST1","CH17_F_C514_G1","74","CH17_F_C514_G1","74","CH17_F_C514_G1","74","","","","","","","","","","","",""
