id	proposalLevel	tag	roleRestrictions	sceneId	battleRules	roleNun	powerRatioTeamID	rounds	damageTotal	exp	cardExp	restartBattleBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	buffDec	buffDec_zh_TW	buffDec_en_UK	buffDec_ja_JP	buffDec_ko_KR	buffDec_th_TH
94215	175300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·八	黑霧之淵·八	Misty Depths VIII	黒霧ノ淵Ⅷ	검은 안개의 심연VIII	เหวหมอกมืด·8	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94216	175300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·八	黑霧之淵·八	Misty Depths VIII	黒霧ノ淵Ⅷ	검은 안개의 심연VIII	เหวหมอกมืด·8	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94217	184300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·九	黑霧之淵·九	Misty Depths IX	黒霧ノ淵Ⅸ	검은 안개의 심연IX	เหวหมอกมืด·9	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94218	184300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·九	黑霧之淵·九	Misty Depths IX	黒霧ノ淵Ⅸ	검은 안개의 심연IX	เหวหมอกมืด·9	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94219	193300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·十	黑霧之淵·十	Misty Depths X	黒霧ノ淵Ⅹ	검은 안개의 심연X	เหวหมอกมืด·10	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94220	193300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·十	黑霧之淵·十	Misty Depths X	黒霧ノ淵Ⅹ	검은 안개의 심연X	เหวหมอกมืด·10	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94231	184300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·困难·一	黑霧之淵·困難·一	Misty Depths (Hard) I	黒霧ノ淵・困難Ⅰ	검은 안개의 심연·하드I 	เหวหมอกมืด·ยาก·1	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94232	184300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·困难·一	黑霧之淵·困難·一	Misty Depths (Hard) I	黒霧ノ淵・困難Ⅰ	검은 안개의 심연·하드I 	เหวหมอกมืด·ยาก·1	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94233	193300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·困难·二	黑霧之淵·困難·二	Misty Depths (Hard) II	黒霧ノ淵・困難Ⅱ	검은 안개의 심연·하드II 	เหวหมอกมืด·ยาก·2	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94234	193300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·困难·二	黑霧之淵·困難·二	Misty Depths (Hard) II	黒霧ノ淵・困難Ⅱ	검은 안개의 심연·하드II 	เหวหมอกมืด·ยาก·2	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94235	202300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·困难·三	黑霧之淵·困難·三	Misty Depths (Hard) III	黒霧ノ淵・困難Ⅲ	검은 안개의 심연·하드III 	เหวหมอกมืด·ยาก·3	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94236	202300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·困难·三	黑霧之淵·困難·三	Misty Depths (Hard) III	黒霧ノ淵・困難Ⅲ	검은 안개의 심연·하드III 	เหวหมอกมืด·ยาก·3	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94237	211300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·困难·四	黑霧之淵·困難·四	Misty Depths (Hard) IV	黒霧ノ淵・困難Ⅳ	검은 안개의 심연·하드IV	เหวหมอกมืด·ยาก·4	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
94238	211300	303;304;305	0	18401	1	4	0	100	0			1	1	黑雾之渊·困难·四	黑霧之淵·困難·四	Misty Depths (Hard) IV	黒霧ノ淵・困難Ⅳ	검은 안개의 심연·하드IV	เหวหมอกมืด·ยาก·4	<color=#800080>梦魇涌动</color>：我方单位每获得1层【生命值提升】增益时，额外获得1层<color=#f0932b>造成伤害提升10%</color>，上限3层；未携带增益状态的敌人<color=#f0932b>受到伤害提升20%</color>	<color=#800080>夢魘湧動</color>：我方單位每獲得1層【生命值提升】增益時，額外獲得1層<color=#f0932b>造成傷害提升10%</color>，上限3層；未攜帶增益狀態的敵人<color=#f0932b>受到傷害提升20%</color>	<color=#800080>Nightmare Surge</color>: Whenever allied units gain 1 stack of an effect that increases HP, they gain 1 extra effect that <color=#f0932b>increases damage dealt by 10%</color>, stacking up to 3 times. In addition, the enemies who are not buffed <color=#f0932b>take 20% more damage</color>.	<color=#800080>ステージ効果</color>：味方に「最大HPアップ」バフが1スタック付与されるたびに、追加で<color=#f0932b>与ダメージ＋10%</color>が1スタック付与される(最大3スタックまで)。バフを持っていない敵の<color=#f0932b>被ダメージ＋20%</color>。	<color=#800080>나이트메어 침식</color>: 만약 아군 유닛이 매 1스택의 [HP 증가] 버프를 획득하면, 추가로 1스택의 <color=#f0932b>적용하는 대미지 10% 증가</color> 효과를 획득하고, 최대 3스택 중첩 가능. 버프 효과를 보유하지 않은 적은 <color=#f0932b>받는 대미지가 20% 증가한다</color>.	<color=#800080>กระแสฝันร้าย</color>:​ ทุกครั้งที่​ตัวละคร​ฝ่าย​เรา​มี​บัฟ​ [​เพิ่ม​ HP]​ จำนวน​ 1​ ชั้น​ จะ​ได้รับ​เอฟเฟกต์​<color=#f0932b>สร้างดาเมจเพิ่มขึ้น 10%</color>​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​ ศัตรู​ที่​ไม่​มี​เอฟเฟกต์​ดี​บัฟ​จะ​<color=#f0932b>ได้รับดาเมจเพิ่มขึ้น 20%</color>​
94239	220300	301;304;305	0	82021	1	4	0	100	0			1	1	黑雾之渊·困难·五	黑霧之淵·困難·五	Misty Depths (Hard) V	黒霧ノ淵・困難Ⅴ	검은 안개의 심연·하드V	เหวหมอกมืด·ยาก·5	<color=#800080>梦魇涌动</color>：若敌方单位在其自身的行动回合内被施加了【诅咒】，则该单位额外获得1层<color=#f0932b>受到间接伤害提升20%</color>，上限3层	<color=#800080>夢魘湧動</color>：若敵方單位在其自身的行動回合內被施加了【詛咒】，則該單位額外獲得1層<color=#f0932b>受到間接傷害提升20%</color>，上限3層	<color=#800080>Nightmare Surge</color>: If an enemy unit is afflicted with [Curse] during its turn, it gains an additional stack of an effect that <color=#f0932b>increases its Indirect DMG taken by 20%</color>, stacking up to 3 times.	<color=#800080>ステージ効果</color>：敵が自身の行動ターンで【呪詛】を受けた場合、追加で対象に<color=#f0932b>受ける間接ダメージ20%アップ</color>が付与される（最大3スタックまで）。	<color=#800080>나이트메어 침식</color>: 만약 단일 적이 자신의 행동턴에 [저주]를 부여하면, 해당 유닛에게 추가로 적용되는 <color=#f0932b>간접 대미지가 20% 증가합니다.</color> 최대 3스택 중첩 가능	<color=#800080>กระแสฝันร้าย</color>:​ หาก​ศัตรู​ติด​สถานะ​ [​คำสาป​]​ ใน​รอบ​ของ​ตนเอง​ ศัตรู​ตัว​นั้น​จะ​<color=#f0932b>ได้รับสถานะโดนดาเมจต่อเนื่องเพิ่มขึ้น 20%</color>​ จำนวน​ 1​ ชั้น​ สะสม​ได้​ 3​ ชั้น​
